Level,Find Number,Quantity,Reference Designator,Item,Revision,Description,UOM,Note,MPN,Manufacturer,Alternate,Substitute
 , , , , , , , , ,24163-DLC10B8R2CP152X,DALICAP CO LTD,,
 , , , , , , , , ,38487-100B8R2CTN1500X,KYOCERA AVX,,
3,,2,"C8,C20",5357262-32,'3',"CAPACITOR 91PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-102CHB910GCL,EXXELIA,,
 , , , , , , , , ,24163-DLC10B910GP102X,DALICAP CO LTD,,
 , , , , , , , , ,38487-100B910GTN1000X,KYOCERA AVX,,
 , , , , , , , , ,01521-ATC100B910GTN1000X,AMERICAN TECHNICAL CERAMICS,,
3,,1,C14,5357262-27,'3',"CAPACITOR 51PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B510GTN1000X,KYOCERA AVX,,
 , , , , , , , , ,28443-102CHB510GCL,EXXELIA,,
 , , , , , , , , ,24163-DLC10B510GP102X,DALICAP CO LTD,,
 , , , , , , , , ,01521-ATC100B510GTN1000X,AMERICAN TECHNICAL CERAMICS,,
3,,1,C3,5357262-26,'3',"CAPACITOR 47PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B470GTN1500X,KYOCERA AVX,,
 , , , , , , , , ,28443-152CHB470GCL,EXXELIA,,
 , , , , , , , , ,01521-ATC100B470GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,24163-DLC10B470GP152X,DALICAP CO LTD,,
3,,1,C18,5357262-34,'3',"CAPACITOR 120PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,01521-ATC100B121GTN1000X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,24163-DLC10B121GP102X,DALICAP CO LTD,,
 , , , , , , , , ,28443-102CHB121GCL,EXXELIA,,
 , , , , , , , , ,38487-100B121GTN1000X,KYOCERA AVX,,
3,,9,"C21,C25,C26,C27,C28,C29,C30,C31,C32",5357262-3,'3',"CAPACITOR 2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B2R0CTN1500X,KYOCERA AVX,,
 , , , , , , , , ,01521-ATC100B2R0CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,28443-152CHB2R0CCL,EXXELIA,,
 , , , , , , , , ,24163-DLC10B2R0CP152X,DALICAP CO LTD,,
3,,1,C7,5357262-36,'3',"CAPACITOR 130PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-102CHB131GCL,EXXELIA,,
 , , , , , , , , ,38487-100B131GTN1000X,KYOCERA AVX,,
 , , , , , , , , ,01521-ATC100B131GTN1000X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,24163-DLC10B131GP102X,DALICAP CO LTD,,
3,1,1,,46-230729P1,'18',BAR CODE LABEL,Each,,18876-TTL129-403-10,IDENTCO,,
 , , , , , , , , ,20290-B457,BRADY,,
 , , , , , , , , ,20290-B768,BRADY,,
 , , , , , , , , ,20290-B797,BRADY,,
 , , , , , , , , ,20290-B-727,BRADY,,
 , , , , , , , , ,20290-Y852553,BRADY,,
 , , , , , , , , ,26627-XF-592,POLYONICS INC,,
3,,2,"AR1, AR2",6300420,'8',1.5T MINI PREAMP-SMFP,Each,, , ,,
4,,1,C2,2385113-5,'6',"CAPACITOR, CERAMIC, C0G, 47PF, 5PERCENT, 50V, 0402",Each,,11623-NMC0402NPO470J50TRPF,NIC COMPONENTS CORPORATION,,
 , , , , , , , , ,27146-04025A470JAT,AVX,,
 , , , , , , , , ,08390-C0402C470J5GAC,KEMET,,
 , , , , , , , , ,02862-GRM1555C1H470JA01,MURATA,,
 , , , , , , , , ,18981-VJ0402A470JXAA,VISHAY,,
 , , , , , , , , ,11962-CC0402JRNPO9BN470,YAGEO,,
 , , , , , , , , ,24313-CL05C470JB5NNNC,SAMSUNG ELECTRO-MECHANICS CO,,
 , , , , , , , , ,03041-C1005C0G1H470J,TDK,,
 , , , , , , , , ,03041-C1005C0G1H470J050BA,TDK,,
4,,1,Q1,5423263,'2',"TRANSISTOR PSEUDOMORPHIC HEMT, 5.5Vds, 237mA Ids, SOT-343",Each,,28157-ATF-33143-TR1G,BROADCOM CORPORATION,,5457249|5433188|5460302
4,,1,L1,2368082-16,'3',INDUCTOR RF 180nH 2Percent 620mA,Each,,04359-PE-1008CD181GTT,PULSE ENGINEERING INC,,
 , , , , , , , , ,07200-1008CS-181XGL,COILCRAFT,,
4,3,6,,5373049,'6',PINS PREAMP,Each,,38635-460-8117-01-01-00,CAMBION ELECTRONICS LIMITED,,
 , , , , , , , , ,38635-946-6895-01-01-00,CAMBION ELECTRONICS LIMITED,,
 , , , , , , , , ,01003-48-024,VOLTRONICS,,
4,,1,R2,2348958-65,'2',"RESISTOR, 49.9 OHM, 1Percent, 63MW, THICK FILM, 100PPM, SMD 0402",Each,,06725-RK73H1ETTP49R9F,KOA,,
 , , , , , , , , ,00078-CR0402-FX-49R9GLF,BOURNS,,
 , , , , , , , , ,02254-MCR01MZPF49R9,ROHM,,
 , , , , , , , , ,18981-CRCW040249R9FKE,VISHAY,,
 , , , , , , , , ,11962-RC0402FR-0749R9L,YAGEO,,
4,,1,C6,2385113-24,'1',"CAPACITOR 2.7P, 0.25PF TOLERANCE, 50V, CERAMIC, C0G-NP0, 0402",Each,,19214-04025A2R7CAT,AVX/KYOCERA,,
 , , , , , , , , ,11962-CC0402CRNPO9BN2R7,YAGEO,,
 , , , , , , , , ,08390-C0402C279C5GAC,KEMET,,
 , , , , , , , , ,11623-NMC0402NPO2R7C50TRPF,NIC COMPONENTS CORPORATION,,
4,,1,L2,5428085,'3',"INDUCTOR 120N, 2 PERCENT, 310MA, WIREWOUND, CHIP, 0402",Each,,11623-NIN-ZKR12GTR310F,NIC COMPONENTS CORPORATION,,
 , , , , , , , , ,07200-0402HPH-R12XGL,COILCRAFT,,
 , , , , , , , , ,07200-0402HPH-R12XGR,COILCRAFT,,
4,2,1,,6300421,'2',1.5T MINI_PREAMP_SMFP,Each,,24647-6300421,SHENNAN CIRCUITS,,
4,,1,C3,2385113-21,'3',"CAPACITOR 680P, 5 PERCENT, 50V, CERAMIC, C0G-NP0, 0402",Each,,03041-C1005C0G1H681J,TDK,,
 , , , , , , , , ,08390-C0402C681J5GAC,KEMET,,
 , , , , , , , , ,03041-C1005C0G1H681J050BA,TDK,,
 , , , , , , , , ,24313-CL05C681JB5NNNC,SAMSUNG ELECTRO-MECHANICS CO,,
4,,1,R5,2348958-7,'3',RESISTOR 47 OHMS 1 PERCENT .063 WATTS,Each,,28087-WCR-WCR0402LF-47R0FPLT,TT ELECTRONICS,,
 , , , , , , , , ,00006-WCR0402LF47R0F,IRC,,
 , , , , , , , , ,11962-RC0402FR-0747RL,YAGEO,,
 , , , , , , , , ,24313-RC1005F470CS,SAMSUNG ELECTRO-MECHANICS CO,,
 , , , , , , , , ,07092-ERJ2RKF47R0,PANASONIC,,
 , , , , , , , , ,18981-CRCW040247R0FKE,VISHAY,,
 , , , , , , , , ,06725-RK73H1ETTP47R0F,KOA,,
4,,1,C1,2385113-13,'2',"CAPACITOR 30P, 1 PERCENT, 50V, CERAMIC, C0G-NPO, 0402",Each,,02862-GRM1555C1H300FA01,MURATA,,
 , , , , , , , , ,11962-CC0402FRNPO9BN300,YAGEO,,
 , , , , , , , , ,11623-NMC0402NPO300F50TRPF,NIC COMPONENTS CORPORATION,,
 , , , , , , , , ,08390-C0402C300F5GAC,KEMET,,
 , , , , , , , , ,19214-04025A300FAT,AVX/KYOCERA,,
 , , , , , , , , ,18981-VJ0402A300FXAA,VISHAY,,
4,,1,C5,2356227-19,'1',"CAPACITOR, CERAMIC, X7R, 2.7NF, 10PERCENT, 50V, SMD 0402",Each,,11962-CC0402KRX7R9BB272,YAGEO,,
 , , , , , , , , ,19214-04025C272KAT,AVX/KYOCERA,,
 , , , , , , , , ,08390-C0402C272K5RAC,KEMET,,
 , , , , , , , , ,03041-C1005X7R1H272K,TDK,,
 , , , , , , , , ,18981-VJ0402Y272KXAA,VISHAY,,
 , , , , , , , , ,11623-NMC0402X7R272K50TRPF,NIC COMPONENTS CORPORATION,,
4,,1,R3,2348958-117,'1',"RESISTOR 357 OHM, 1Percent, 0.0625W, FILM, 100PPM, 0402",Each,,18981-CRCW0402357RFKE,VISHAY,,
 , , , , , , , , ,11962-RC0402FR-07357RL,YAGEO,,
 , , , , , , , , ,06725-RK73H1ETTP3570F,KOA,,
 , , , , , , , , ,00078-CR0402-FX-3570GLF,BOURNS,,
 , , , , , , , , ,02254-MCR01MZPF3570,ROHM,,
4,,1,R1,2348958-95,'1',"RESISTOR, 1.21K, 1 PERCENT, 63MW, THICK FILM, 100PPM, SMD 0402",Each,,11962-RC0402FR-071K21L,YAGEO,,
 , , , , , , , , ,02254-MCR01MZPF1211,ROHM,,
 , , , , , , , , ,00078-CR0402-FX-1211GLF,BOURNS,,
 , , , , , , , , ,06725-RK73H1ETTP1211F,KOA,,
 , , , , , , , , ,18981-CRCW04021K21FKE,VISHAY,,
4,4,1,,5498810,'1',Supplier defined consumable for PWA 6300420,Each,,24211-5498810,SFO TECHNOLOGIES,,
4,,1,D2,5431216,'5',"PROTECTION TRANSIENT VOLTAGE SUPPRESSOR, 1A, MINUS 8 To 14V WORKING VOLTAGE, 15KV ESD, TSLP-2-17 SM PACKAGE",Each,,18889-ESD8V0R1B-02LRH E6327,INFINEON TECHNOLOGIES AG,,
 , , , , , , , , ,18889-ESD8V0R1B02LRHE6327XTSA1,INFINEON TECHNOLOGIES AG,,
 , , , , , , , , ,18889-ESD204B102ELE6327XTMA1,INFINEON TECHNOLOGIES AG,,
4,,1,D1,5432424,'2',"RF ESD PROTECTION DIODE, 10A PEAK PULSE CURRENT, 20KV ESD CONTACT DISCHARGE, TSLP-4-7",Each,,18889-ESD0P8RFL E6327,INFINEON TECHNOLOGIES AG,,
 , , , , , , , , ,18889-ESD0P8RFLE6327XTSA1,INFINEON TECHNOLOGIES AG,,
4,,1,R4,2348958-96,'1',"RESISTOR, 16.5 OHM, 1 PERCENT, 63MW, THICK FILM, 100PPM, SMD 0402",Each,,06725-RK73H1ETTP16R5F,KOA,,
 , , , , , , , , ,18981-CRCW040216R5FKE,VISHAY,,
 , , , , , , , , ,11962-RC0402FR-0716R5L,YAGEO,,
 , , , , , , , , ,02254-MCR01MZPF16R5,ROHM,,
 , , , , , , , , ,00078-CR0402-FX-16R5GLF,BOURNS,,
4,,1,Q2,5427934,'3',"TRANSISTOR NPN, RF, 12V, 80MA, 7.5 GHz SOT343",Each,,20725-BFP196WH6327,INFINEON TECHNOLOGIES CORP.,,
 , , , , , , , , ,18889-BFP196WH6327XTSA1,INFINEON TECHNOLOGIES AG,,
3,,2,"C5,C15",5357262-46,'2',"REPLACED BY 2342954-72, CAPACITOR 270PF, 2PERCENT, 200V, CERAMIC, SMT, NON-MAGNETIC. WARNING: Unknown Whisker Risk",Each,,24163-DLC10B271GP201X,DALICAP CO LTD,,
 , , , , , , , , ,28443-201CHB271GCL,EXXELIA,,
 , , , , , , , , ,01521-ATC100B271GTN200X,AMERICAN TECHNICAL CERAMICS,,
3,,2,"Z1,Z2",5343662,'2',"Balun wound CCW, ID 5.2, 6 turns",Each,, , ,,
4,2,17,,U1-510096,'2',TUBING 116IN HEAT SHRINK BLACK,Centimeter,,00748-FIT-221-1/16 BLACK,ALPHA WIRE,,
 , , , , , , , , ,25152-FP-221-1/16 BLACK,OLYMPIC WIRE & CABLE CORP,,
4,1,17,,U1-360041,'4',CABLE SEMIRIGID COAX 50 OHM 0.047 O. D. X 5FT,Centimeter,,39029-SY68004750-009,SHENYU COMMUNICATION TECHNOLOGY INC,,
 , , , , , , , , ,39028-UT-047-06,LIZER WIRE AND CABLE CO LTD,,
 , , , , , , , , ,00081-HC10001-1,WINCHESTER ELECTRONICS,,
4,3,1,,5448552,'1',"Supplier Defined Consumable for Balun wound CCW, ID 5.2, 6 turns - 5343662",Each,,24211-5448552,SFO TECHNOLOGIES,,
